ticker;date;close;volume
SONDA.SN;2023-01-03;323.88;234729
SONDA.SN;2023-01-04;319.99;1409
SONDA.SN;2023-01-05;319.26;313771
SONDA.SN;2023-01-06;360.5;13533
SONDA.SN;2023-01-09;371.98;232573
SONDA.SN;2023-01-10;364.94;2945905
SONDA.SN;2023-01-11;378.0;246610
SONDA.SN;2023-01-12;372.04;87079
SONDA.SN;2023-01-13;374.5;4278
SONDA.SN;2023-01-16;374.94;73592
SONDA.SN;2023-01-17;377.41;44976
SONDA.SN;2023-01-18;380.36;36490
SONDA.SN;2023-01-19;395.0;202946
SONDA.SN;2023-01-20;397.82;120001
SONDA.SN;2023-01-23;403.19;39880
SONDA.SN;2023-01-24;403.36;3359
SONDA.SN;2023-01-25;402.0;70402
SONDA.SN;2023-01-26;402.45;8867
SONDA.SN;2023-01-27;413.03;4991
SONDA.SN;2023-01-30;413.0;235637
SONDA.SN;2023-01-31;395.1;121390
SONDA.SN;2023-02-01;384.99;141729
SONDA.SN;2023-02-02;385.01;30027
SONDA.SN;2023-02-03;385.02;28838
SONDA.SN;2023-02-06;388.98;18636
SONDA.SN;2023-02-07;399.66;8581
SONDA.SN;2023-02-08;403.5;35944
SONDA.SN;2023-02-09;406.03;64114
SONDA.SN;2023-02-10;405.66;8404
SONDA.SN;2023-02-13;405.0;84637
SONDA.SN;2023-02-14;405.05;3119
SONDA.SN;2023-02-15;408.94;303
SONDA.SN;2023-02-16;405.18;19484
SONDA.SN;2023-02-17;405.07;70897
SONDA.SN;2023-02-20;405.49;28915
SONDA.SN;2023-02-21;405.12;62349
SONDA.SN;2023-02-22;407.0;64535
SONDA.SN;2023-02-23;413.68;49668
SONDA.SN;2023-02-24;414.93;210817
SONDA.SN;2023-02-27;409.95;60014
SONDA.SN;2023-02-28;407.72;36198
SONDA.SN;2023-03-01;420.46;50206
SONDA.SN;2023-03-02;422.59;61932
SONDA.SN;2023-03-03;409.69;40734
SONDA.SN;2023-03-06;405.0;175561
SONDA.SN;2023-03-07;412.2;66465
SONDA.SN;2023-03-08;417.66;7597
SONDA.SN;2023-03-09;425.4;71271
SONDA.SN;2023-03-10;421.04;50259
SONDA.SN;2023-03-13;413.02;47175
SONDA.SN;2023-03-14;408.0;2026115
SONDA.SN;2023-03-15;413.0;73325
SONDA.SN;2023-03-16;409.94;2402
SONDA.SN;2023-03-17;415.0;170156
SONDA.SN;2023-03-20;406.51;124566
SONDA.SN;2023-03-21;421.0;102075
SONDA.SN;2023-03-22;415.74;7700
SONDA.SN;2023-03-23;419.99;2485021
SONDA.SN;2023-03-24;420.0;32203
SONDA.SN;2023-03-27;410.72;7838
SONDA.SN;2023-03-28;412.0;54665
SONDA.SN;2023-03-29;412.0;7062
SONDA.SN;2023-03-30;419.87;8250
SONDA.SN;2023-03-31;420.07;1329
SONDA.SN;2023-04-03;423.5;10719
SONDA.SN;2023-04-04;418.01;5216
SONDA.SN;2023-04-05;415.94;1297
SONDA.SN;2023-04-06;415.94;3400
SONDA.SN;2023-04-10;415.94;4542
SONDA.SN;2023-04-11;415.93;13403
SONDA.SN;2023-04-12;415.0;94928
SONDA.SN;2023-04-13;414.27;14740
SONDA.SN;2023-04-14;412.74;92319
SONDA.SN;2023-04-17;400.0;108358
SONDA.SN;2023-04-18;400.0;94084
SONDA.SN;2023-04-19;400.03;1914126
SONDA.SN;2023-04-20;400.16;11804
SONDA.SN;2023-04-21;400.16;685
SONDA.SN;2023-04-24;399.8;12103
SONDA.SN;2023-04-25;400.37;16133
SONDA.SN;2023-04-26;405.0;6818
SONDA.SN;2023-04-27;410.79;29969
SONDA.SN;2023-04-28;407.83;61820
SONDA.SN;2023-05-02;407.79;45479
SONDA.SN;2023-05-03;404.0;63101
SONDA.SN;2023-05-04;404.01;47384
SONDA.SN;2023-05-05;400.13;7254
SONDA.SN;2023-05-08;402.66;19244
SONDA.SN;2023-05-09;401.87;24569
SONDA.SN;2023-05-10;398.56;31906
SONDA.SN;2023-05-11;396.53;4131
SONDA.SN;2023-05-12;397.01;12965
SONDA.SN;2023-05-15;392.3;34624
SONDA.SN;2023-05-16;385.01;166573
SONDA.SN;2023-05-17;390.39;4801
SONDA.SN;2023-05-18;385.36;1044
SONDA.SN;2023-05-19;395.43;56345
SONDA.SN;2023-05-22;400.74;9388
SONDA.SN;2023-05-23;402.59;34070
SONDA.SN;2023-05-24;402.2;9870
SONDA.SN;2023-05-25;402.23;6875
SONDA.SN;2023-05-26;400.61;113491
SONDA.SN;2023-05-29;407.89;65089
SONDA.SN;2023-05-30;413.97;27074
SONDA.SN;2023-05-31;414.03;8141
SONDA.SN;2023-06-01;413.94;4753
SONDA.SN;2023-06-02;413.9;97903
SONDA.SN;2023-06-05;406.48;14960
SONDA.SN;2023-06-06;403.34;13284
SONDA.SN;2023-06-07;395.93;22940
SONDA.SN;2023-06-08;395.78;30257
SONDA.SN;2023-06-09;410.42;11824
SONDA.SN;2023-06-12;412.63;4295
SONDA.SN;2023-06-13;403.0;204238
SONDA.SN;2023-06-14;404.13;35000
SONDA.SN;2023-06-15;405.24;10056
SONDA.SN;2023-06-16;401.4;169288
SONDA.SN;2023-06-19;408.7;9397
SONDA.SN;2023-06-20;407.83;17058
SONDA.SN;2023-06-22;403.1;12397
SONDA.SN;2023-06-23;406.11;53292
SONDA.SN;2023-06-27;398.27;76655
SONDA.SN;2023-06-28;388.0;161005
SONDA.SN;2023-06-29;392.62;42564
SONDA.SN;2023-06-30;389.85;1661
SONDA.SN;2023-07-03;396.41;51037
SONDA.SN;2023-07-04;397.61;26721
SONDA.SN;2023-07-05;393.84;28172
SONDA.SN;2023-07-06;389.57;34352
SONDA.SN;2023-07-07;385.92;30000
SONDA.SN;2023-07-10;381.74;85489
SONDA.SN;2023-07-11;386.0;193634
SONDA.SN;2023-07-12;404.71;17557
SONDA.SN;2023-07-13;406.15;19489
SONDA.SN;2023-07-14;413.65;10780
SONDA.SN;2023-07-17;410.25;81827
SONDA.SN;2023-07-18;422.0;275662
SONDA.SN;2023-07-19;435.0;86466
SONDA.SN;2023-07-20;434.48;27783
SONDA.SN;2023-07-21;439.1;112640
SONDA.SN;2023-07-24;439.78;67015
SONDA.SN;2023-07-25;436.02;11235
SONDA.SN;2023-07-26;426.09;65957
SONDA.SN;2023-07-27;438.58;1055
SONDA.SN;2023-07-28;438.24;11236
SONDA.SN;2023-07-31;445.81;45523
SONDA.SN;2023-08-01;447.28;17965
SONDA.SN;2023-08-02;446.35;28036
SONDA.SN;2023-08-03;444.74;6434
SONDA.SN;2023-08-04;447.96;17683
SONDA.SN;2023-08-07;445.69;36208
SONDA.SN;2023-08-08;441.24;37145
SONDA.SN;2023-08-09;442.75;75425
SONDA.SN;2023-08-10;449.39;13726
SONDA.SN;2023-08-11;445.24;51463
SONDA.SN;2023-08-14;440.47;600
SONDA.SN;2023-08-16;435.65;17681
SONDA.SN;2023-08-17;435.3;11617
SONDA.SN;2023-08-18;426.07;20465
SONDA.SN;2023-08-21;428.94;27295
SONDA.SN;2023-08-22;436.14;2
SONDA.SN;2023-08-23;435.33;38031
SONDA.SN;2023-08-24;421.39;5713
SONDA.SN;2023-08-25;426.9;281
SONDA.SN;2023-08-28;425.03;37224
SONDA.SN;2023-08-29;422.5;2917
SONDA.SN;2023-08-30;427.19;1294
SONDA.SN;2023-08-31;429.23;47783
SONDA.SN;2023-09-01;424.96;118719
SONDA.SN;2023-09-04;411.88;875
SONDA.SN;2023-09-05;412.05;10303
SONDA.SN;2023-09-06;416.56;8375
SONDA.SN;2023-09-07;405.1;89334
SONDA.SN;2023-09-08;391.87;1067
SONDA.SN;2023-09-11;395.2;261534
SONDA.SN;2023-09-12;397.67;46400
SONDA.SN;2023-09-13;396.0;230742
SONDA.SN;2023-09-14;392.94;2000
SONDA.SN;2023-09-15;392.0;2725181
SONDA.SN;2023-09-20;393.25;11856
SONDA.SN;2023-09-21;392.22;25634
SONDA.SN;2023-09-22;389.93;99
SONDA.SN;2023-09-25;377.0;105000
SONDA.SN;2023-09-26;380.17;60000
SONDA.SN;2023-09-27;377.58;78948
SONDA.SN;2023-09-28;389.97;35060
SONDA.SN;2023-09-29;407.35;5481
SONDA.SN;2023-10-02;406.32;11415
SONDA.SN;2023-10-03;405.75;23089
SONDA.SN;2023-10-04;400.0;59448
SONDA.SN;2023-10-05;395.62;7085
SONDA.SN;2023-10-06;399.34;334900
SONDA.SN;2023-10-10;396.4;14319
SONDA.SN;2023-10-11;394.99;22795
SONDA.SN;2023-10-12;391.78;1945
SONDA.SN;2023-10-13;398.95;68634
SONDA.SN;2023-10-16;399.47;135908
SONDA.SN;2023-10-17;399.47;1000
SONDA.SN;2023-10-18;391.91;152268
SONDA.SN;2023-10-19;390.83;120
SONDA.SN;2023-10-20;387.78;80
SONDA.SN;2023-10-23;387.51;9208
SONDA.SN;2023-10-24;383.58;18000
SONDA.SN;2023-10-25;378.27;18889
SONDA.SN;2023-10-26;378.27;17528
SONDA.SN;2023-10-30;375.88;63804
SONDA.SN;2023-10-31;362.42;4015
SONDA.SN;2023-11-02;369.03;777
SONDA.SN;2023-11-03;380.0;1207
SONDA.SN;2023-11-06;379.46;94798
SONDA.SN;2023-11-07;375.59;252444
SONDA.SN;2023-11-08;377.07;63844
SONDA.SN;2023-11-09;374.87;259959
SONDA.SN;2023-11-10;370.11;261522
SONDA.SN;2023-11-13;370.22;269512
SONDA.SN;2023-11-14;372.98;27171
SONDA.SN;2023-11-15;372.57;5000
SONDA.SN;2023-11-16;369.62;6111
SONDA.SN;2023-11-17;368.9;163089
SONDA.SN;2023-11-20;366.79;15068
