ticker;date;close;volume
ECL.SN;2023-01-03;485.76;36382
ECL.SN;2023-01-04;475.29;39238
ECL.SN;2023-01-05;471.17;212706
ECL.SN;2023-01-06;470.86;58435
ECL.SN;2023-01-09;470.31;11874
ECL.SN;2023-01-10;470.0;107360
ECL.SN;2023-01-11;469.1;110063
ECL.SN;2023-01-12;477.71;9696
ECL.SN;2023-01-13;481.86;10000
ECL.SN;2023-01-16;475.92;25318
ECL.SN;2023-01-17;482.54;17281
ECL.SN;2023-01-18;484.0;18980
ECL.SN;2023-01-19;490.75;57380
ECL.SN;2023-01-20;509.75;28891
ECL.SN;2023-01-23;525.0;296255
ECL.SN;2023-01-24;514.72;41066
ECL.SN;2023-01-25;514.97;601788
ECL.SN;2023-01-26;514.76;1164
ECL.SN;2023-01-27;517.96;32099
ECL.SN;2023-01-30;518.05;44287
ECL.SN;2023-01-31;507.01;134739
ECL.SN;2023-02-01;486.5;73289
ECL.SN;2023-02-02;488.76;41426
ECL.SN;2023-02-03;506.7;67188
ECL.SN;2023-02-06;493.89;40484
ECL.SN;2023-02-07;485.0;74519
ECL.SN;2023-02-08;492.89;10723
ECL.SN;2023-02-09;508.7;34713
ECL.SN;2023-02-10;502.02;5750
ECL.SN;2023-02-13;492.3;382617
ECL.SN;2023-02-14;489.59;9547
ECL.SN;2023-02-15;498.0;82425
ECL.SN;2023-02-16;489.26;35833
ECL.SN;2023-02-17;482.1;37036
ECL.SN;2023-02-20;488.06;8455991
ECL.SN;2023-02-21;482.68;55924
ECL.SN;2023-02-22;485.0;392318
ECL.SN;2023-02-23;493.08;65615
ECL.SN;2023-02-24;495.08;36320
ECL.SN;2023-02-27;490.28;68317
ECL.SN;2023-02-28;505.0;30929
ECL.SN;2023-03-01;519.92;64350
ECL.SN;2023-03-02;526.5;65265
ECL.SN;2023-03-03;525.0;93863
ECL.SN;2023-03-06;530.0;153192
ECL.SN;2023-03-07;538.12;59535
ECL.SN;2023-03-08;534.13;132161
ECL.SN;2023-03-09;559.58;34907
ECL.SN;2023-03-10;560.0;127720
ECL.SN;2023-03-13;550.0;390110
ECL.SN;2023-03-14;560.0;323591
ECL.SN;2023-03-15;560.0;726874
ECL.SN;2023-03-16;560.0;303703
ECL.SN;2023-03-17;536.0;394558
ECL.SN;2023-03-20;545.0;369240
ECL.SN;2023-03-21;555.0;295873
ECL.SN;2023-03-22;563.66;34498
ECL.SN;2023-03-23;560.85;870795
ECL.SN;2023-03-24;553.0;143293
ECL.SN;2023-03-27;557.0;470915
ECL.SN;2023-03-28;560.0;273948
ECL.SN;2023-03-29;560.0;98374
ECL.SN;2023-03-30;570.0;88325
ECL.SN;2023-03-31;584.0;132057
ECL.SN;2023-04-03;576.05;2555
ECL.SN;2023-04-04;565.03;3405
ECL.SN;2023-04-05;560.25;17559
ECL.SN;2023-04-06;566.49;79875
ECL.SN;2023-04-10;560.11;73079
ECL.SN;2023-04-11;555.97;15323
ECL.SN;2023-04-12;571.8;31144
ECL.SN;2023-04-13;595.34;13934
ECL.SN;2023-04-14;600.0;172000
ECL.SN;2023-04-17;587.19;35196
ECL.SN;2023-04-18;588.92;12538
ECL.SN;2023-04-19;573.01;15420
ECL.SN;2023-04-20;571.04;8520
ECL.SN;2023-04-21;566.04;33240
ECL.SN;2023-04-24;578.96;10792
ECL.SN;2023-04-25;575.0;361451
ECL.SN;2023-04-26;594.99;63560
ECL.SN;2023-04-27;614.0;76845
