ticker;date;close;volume
VAPORES.SN;2023-01-03;67.33;1541025
VAPORES.SN;2023-01-04;67.0;4942775
VAPORES.SN;2023-01-05;67.93;10413117
VAPORES.SN;2023-01-06;67.91;2212339
VAPORES.SN;2023-01-09;67.98;3754232
VAPORES.SN;2023-01-10;67.36;4120450
VAPORES.SN;2023-01-11;67.62;3023270
VAPORES.SN;2023-01-12;67.69;2844252
VAPORES.SN;2023-01-13;67.39;4296631
VAPORES.SN;2023-01-16;68.09;1972353
VAPORES.SN;2023-01-17;71.78;6141601
VAPORES.SN;2023-01-18;71.5;4170713
VAPORES.SN;2023-01-19;70.5;13843476
VAPORES.SN;2023-01-20;70.6;5920186
VAPORES.SN;2023-01-23;70.7;1451437
VAPORES.SN;2023-01-24;70.7;1953714
VAPORES.SN;2023-01-25;69.06;16904664
VAPORES.SN;2023-01-26;69.99;2230469
VAPORES.SN;2023-01-27;70.23;840714
VAPORES.SN;2023-01-30;71.12;6649173
VAPORES.SN;2023-01-31;69.1;8886958
VAPORES.SN;2023-02-01;69.31;2220968
VAPORES.SN;2023-02-02;70.0;8684259
VAPORES.SN;2023-02-03;69.4;2985690
VAPORES.SN;2023-02-06;69.0;5480738
VAPORES.SN;2023-02-07;69.25;1983856
VAPORES.SN;2023-02-08;80.6;15208472
VAPORES.SN;2023-02-09;80.6;3693794
VAPORES.SN;2023-02-10;78.5;5375319
VAPORES.SN;2023-02-13;78.0;21546080
VAPORES.SN;2023-02-14;77.01;4203928
VAPORES.SN;2023-02-15;78.99;8769757
VAPORES.SN;2023-02-16;80.6;7349866
VAPORES.SN;2023-02-17;78.11;2473365
VAPORES.SN;2023-02-20;78.25;10856762
VAPORES.SN;2023-02-21;78.7;2802472
VAPORES.SN;2023-02-22;79.0;7810735
VAPORES.SN;2023-02-23;78.81;4554887
VAPORES.SN;2023-02-24;79.0;2886651
VAPORES.SN;2023-02-27;79.01;2752480
VAPORES.SN;2023-02-28;80.0;37590243
VAPORES.SN;2023-03-01;80.0;1915617
VAPORES.SN;2023-03-02;79.99;5445032
VAPORES.SN;2023-03-03;82.63;2798909
VAPORES.SN;2023-03-06;83.99;4073389
VAPORES.SN;2023-03-07;85.0;10994910
VAPORES.SN;2023-03-08;83.28;4003961
VAPORES.SN;2023-03-09;82.0;4524171
VAPORES.SN;2023-03-10;82.5;2483932
VAPORES.SN;2023-03-13;81.5;3755923
VAPORES.SN;2023-03-14;80.0;5579552
VAPORES.SN;2023-03-15;79.19;9268001
VAPORES.SN;2023-03-16;78.82;4997221
VAPORES.SN;2023-03-17;76.0;64278423
VAPORES.SN;2023-03-20;79.7;3928086
VAPORES.SN;2023-03-21;80.0;8304121
VAPORES.SN;2023-03-22;79.22;28302
VAPORES.SN;2023-03-23;78.43;35264188
VAPORES.SN;2023-03-24;77.3;1600353
VAPORES.SN;2023-03-27;77.0;7804171
VAPORES.SN;2023-03-28;76.75;7024301
VAPORES.SN;2023-03-29;78.9;6000416
VAPORES.SN;2023-03-30;78.5;2145980
VAPORES.SN;2023-03-31;79.04;7093011
VAPORES.SN;2023-04-03;81.4;914113
VAPORES.SN;2023-04-04;81.6;2877100
VAPORES.SN;2023-04-05;81.29;1268589
VAPORES.SN;2023-04-06;81.69;17675295
VAPORES.SN;2023-04-10;81.88;2620806
VAPORES.SN;2023-04-11;81.79;297283
VAPORES.SN;2023-04-12;83.0;4201468
VAPORES.SN;2023-04-13;82.2;24458441
VAPORES.SN;2023-04-14;84.65;2054972
VAPORES.SN;2023-04-17;87.49;5123956
VAPORES.SN;2023-04-18;86.0;5187775
VAPORES.SN;2023-04-19;84.74;2925015
VAPORES.SN;2023-04-20;83.89;2711964
